question,title,answer,passage
do cows have to be pregnant to get milk,Dairy cattle,False,"The production of milk requires that the cow be in lactation, which is a result of the cow having given birth to a calf. The cycle of insemination, pregnancy, parturition, and lactation is followed by a ``dry'' period of about two months before calving, which allows udder tissue to regenerate. A dry period that falls outside this time frames can result in decreased milk production in subsequent lactation. Dairy operations therefore include both the production of milk and the production of calves. Bull calves are either castrated and raised as steers for beef production or used for veal."
is the movie the guardian based on a true story,The Guardian (2006 film),False,The mishap in The Guardian where Randall loses his crew is loosely based on an actual U.S. Coast Guard aviation mishap in Alaska. The aircraft was an HH-3F Pelican (USCG variant of the Jolly Green Giant) instead of the HH-60J Jayhawk (USCG variant of the Blackhawk/Seahawk) pictured in the movie.
is coast guard part of the armed forces,United States Coast Guard,True,"The United States Coast Guard (USCG) is a branch of the United States Armed Forces and one of the country's seven uniformed services. The Coast Guard is a maritime, military, multi-mission service unique among the U.S. military branches for having a maritime law enforcement mission (with jurisdiction in both domestic and international waters) and a federal regulatory agency mission as part of its mission set. It operates under the U.S. Department of Homeland Security during peacetime, and can be transferred to the U.S. Department of the Navy by the U.S. President at any time, or by the U.S. Congress during times of war. This has happened twice, in 1917, during World War I, and in 1941, during World War II."
do the bruins and celtics play in the same arena,TD Garden,True,"TD Garden is the home arena for the Boston Bruins of the National Hockey League and the Boston Celtics of the National Basketball Association. It is owned by Delaware North, whose CEO, Jeremy Jacobs, also owns the Bruins. It is the site of the annual Beanpot college hockey tournament, and hosts the annual Hockey East Championships. The arena has also hosted many major national sporting events including the 1999 and 2003 NCAA Division I Men's Basketball regional first and second rounds, the 2009, 2012, and 2018 Sweet Sixteen and Elite Eight, the 1998 Frozen Four, the 2004 Frozen Four, the 2014 United States Figure Skating Championships, the 2006 Women's Final Four, and the 2015 Frozen Four. It hosted games 3, 4, and 6 of the 2011 Stanley Cup Finals and the 2013 Stanley Cup Finals for the Bruins, and games 1, 2, and 6 of the 2008 NBA Finals and games 3, 4, and 5 of the 2010 NBA Finals for the Celtics. Furthermore, it hosted the NA LCS 2017 Summer Split Finals."
is it illegal to flash your headlights to warn of police in virginia,Headlight flashing,False,"In Virginia, headlight flashing to warn of police activity is not against the law; however radar detectors remain outlawed. Virginia motor vehicle code specifies an ``audible or light signal'' to indicate overtaken vehicles should yield in certain situations"
is ellen's game of games still on tv,Ellen's Game of Games,True,"Ellen's Game of Games, also known as Game of Games and stylized as ellen's GAME OF GAMES, is an American television game show that premiered on December 18, 2017. In March 2017, NBC ordered six (later eight) hourlong episodes of the series. Ellen DeGeneres serves as host, while Stephen ``tWitch'' Boss appears as announcer/sidekick. The series is based on game segments from DeGeneres' daytime talk show, The Ellen DeGeneres Show. A special preview episode aired on December 18, 2017, with the official series premiere on January 2, 2018. On January 9, 2018, NBC renewed the series for a 13-episode second season. The show is started by saying ``and this is your host, Ellen DeGeneres!''"
are a meter and a yard the same length,Yard,False,"The yard (abbreviation: yd) is an English unit of length, in both the British imperial and US customary systems of measurement, that comprises 3 feet or 36 inches. It is by international agreement in 1959 standardized as exactly 0.9144 meters. A metal yardstick originally formed the physical standard from which all other units of length were officially derived in both English systems."
can you do a jump shot on a free throw,Free throw,True,"Leaving their designated places before the ball leaves the shooter's hands, or interfering with the ball, are violations. In addition, the shooter must release the ball within five seconds (ten seconds in the United States) and must not step on or over the free throw line until the ball touches the hoop. Players are, however, permitted to jump while attempting the free throw, provided they do not leave the designated area at any point. A violation by the shooter cancels the free throw; a violation by the defensive team results in a substitute free throw if the shooter missed; a violation by the offensive team or a shot that completely misses the hoop results in the loss of possession to the defensive team (only if it is on the last free throw)."
have the capitals ever win the stanley cup,Washington Capitals,True,"The Capitals were founded in 1974 as an expansion franchise, alongside the Kansas City Scouts. Since purchasing the team in 1999, Leonsis revitalized the franchise by drafting star players such as Alexander Ovechkin, Nicklas Backstrom, Mike Green and Braden Holtby. The 2009--10 Capitals won the franchise's first-ever Presidents' Trophy for being the team with the most points at the end of the regular season. They won it a second time in 2015--16, and did so for a third time the following season in 2016--17. In addition to eleven division titles and three Presidents' Trophies, the Capitals have reached the Stanley Cup Finals twice (in 1998 and 2018), winning in 2018."
is split phase the same as single phase,Split-phase electric power,True,"A split-phase or single-phase three-wire system is a type of single-phase electric power distribution. It is the AC equivalent of the original Edison three-wire direct-current system. Its primary advantage is that it saves conductor material over a single-ended single-phase system, while only requiring a single phase on the supply side of the distribution transformer."
