id,question,question_concept,answerKey,Option_A,Option_B,Option_C,Option_D,Option_E
c0d75f9fbf30aa3a612f16edb20d6b8d,"The man took paperwork to other people to consult over it, where was he heading?",paperwork,B,desk,meeting,office,table,work
c21ec5b367f409a0288d616f626555ae,"If a person is working a lot, what are they likely trying to earn?",person,A,much money,own house,creativity,new car,caregiver
e6586bba9fe96d38792e6e6d4f2703dc,Where can you put a picture frame when it's not hung vertically?,picture,E,art show,wall,newspaper,car,table
1e5a138b4c7d456c37abf4990b402bbe,"He had no issue committing perjury, he had a what that he would get away with it?",committing perjury,A,confidence,go to jail,telling lies,lying,manual
2634468d21fa33a88cefe28a5d613f59,"The boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?",blowfish,E,cuba,styx,atlantic ocean,france,jungle
ceafca2445b1b974d085a8cce38e8e44,What city will likely have many parking structures?,parking structure,A,chicago,big city,large city building,environment,college campus
66bfb6e209c94e6be5b0d04b0c7e2064,Where could you find only a few office?,office,C,skyscraper,new york,school building,city,work
5ef6cdb85468df482e3aa6fa339d6e41,Where can you find a restaurant's phone number?,restaurant,A,yellow pages,town,business sector,town,at hotel
eee8cb7a0d806a62d2de24831f82e3e1,"The inspector was agreeing with the factory protocols, what was the status of the factory?",agreeing with,A,compliance,eligible,contract,harmony,friendship
54231f875bb7fe4d3e4afb6eae64387c,What part of plants is pretty?,plants,D,dirt,no neurons in,millions of cells,flowers on,roots
eee9476bf29498b7d74b043afe316fc6,Where do apples form on an apple tree?,apple tree,D,south africa,sunshine,new york,bloom,trunk
67ffcb4c3f2c6a1155e356f8a15ed250,"They were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?",liquid,A,jar,drinking glass,pot,container,can
5cac4da628f0a58db980649079bd5784,John farms anemone in what type of facility?,anemone,D,michigan,swimming pool,atlantic ocean,nursery,gulf of mexico
7776b10c7bb96f3fe5e026678673634d,What do people want to acquire from opening business?,opening business,B,home,wealth,bankruptcy,lose money,get rich
275c859994f7d3acd3c8863be591ab2c,When you need to rest it's often because you have been doing what?,rest,E,action,sleep,sleeping,in motion,using energy
9bac07574c966cae34c85e9f25538cba,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?",getting in line,B,have to wait for,standing in line,eat cake,less confusion,being ordered
f0d473701d52125dd055d23042de1b0d,"The dog curled up for a nap, it was tuckered out because it had just been what?",dog,A,walked,petted,affection,go outside,scratch
c3b7f4196b12714940ac1b9417194df4,Where is a statute found on a platform?,platform,D,below,arena,concert hall,museum,building
418913999c665ae9527fd14a6132da39,What will likely happen after stabbing to death a person?,stabbing to death,B,gruesome,being arrested,pool of blood,mess,grisly
3d79c10ddf26a5ed7dc0bb168fb0b3ed,"The man didn't do great in college, all his best memories were late night with his brothers at the what?",college,B,big city,fraternity house,school,building,big town
37644422df4bcd28b3f54bbf3fc2c0f8,"They had to know where to go, they got on the national highway after consulting the what?",national highway,B,canada,atlas,united states,major cities,book
84a761f516efce04ab27d7ca8dd25255,Traveling from new place to new place is likely to be what?,traveling,B,going somewhere,exhilarating,diarrhea,relocation,exhausting
0bf4d64ad0eee7224acb3a4eb85accb2,What happens when to ice when it is in the sun?,ice,B,carved,melted,ice cream,antarctica,sculptured
e34a0d1331c6bd4574ffe308e3fbd389,"When a person admits his mistakes, what are they doing?",person,E,accident,learn to swim,thank god,feel relieved,act responsibly
b7091d2bfcea421d787ce9e7982f104a,In a horror movie victims usually trip when the run in order to do what in regards to the killer?,run,C,frightened,run up stairs,get away from,go quickly,go faster
34b2d6aecdb5af8efacf0b0aa7e3989f,Where does one store fabric in their own home?,fabric,A,sewing room,clothing store,tailor shop,clothes store,cotton mill
01794dde3ca2991615f1aa2f63fb22e3,"As he looked out the window, he knew the landing was happening soon, and it made him nervous, but where would he be soon?",landing,E,apartment building,disembark,stairwell,deplane,airport
fde1f9bfc33da302449c0b950d16c0ea,Most people make stupid assumptions that are based on their prejudices.  What might they do instead to achieve better outcomes?,most people,B,set table,think,read books,play games,lie
a7d51b753c2113d8b2dbd0ebb5375855,James's nice asked him about her grandfather. She was interested in learning about what?,niece,A,family tree,family reunion,babysitting,brother's house,heirlooms
c770870c88f35f9d110217049c5a7334,"She was in an affair, what did that end upon discovery by her husband?",affair,B,relationship,marriage,fidelity,love,divorce
467a3b464b08b3ffc9922e2a726554f6,"The family wanted to adopt for enviro-ethical reasons, what did they abhor?",adopt,B,orphan,biological child,give away,foster child,abandon
ea8664e77205224154f8519f922220e1,John felt that his actions were fate.   Harry said that he could have always made a different what?,fate,B,free will,choice,will,alcohol,freedom
7c62637437ad7515452886074010a438,Why would a woman kill a stranger she met in a dark alley?,kill,A,being raped,get rid of,they didn't know the passcode,get revenge,were evil
