id,context,question,answer0,answer1,answer2,answer3,label
3HXK2V1N4KDAOJH0CJ43MNO8MBI2GC##3BXQMRHWK0WMMPKIW9I6UVZLEQQUMB##AXJ1PE87PD0KK##Blog_1233212##q1_a1##3EQPA8A376APFL9KTUAKY9E3SLPJZQ,Then I went to Walmart to pick up 4 RX refills I called in yesterday . They had 3 but the doctor who prescribed my Lisinopril for high blood pressure is the one we just dropped and he did n't call them back . They loaned me 4 from my next prescription so I have about a week 's worth left .,Why did n't the doctor call back ?,The doctor was too sick to call .,None of the above choices .,The doctor had high blood pressure .,He was angry they dropped him .,3
341H3G5YF0C3JQ9RNOOEO6BZ06C0Z5##3MX2NQ3YCASGVMT79FC7X0N3MQE5XB##A2LTOS0AZ3B28A##Blog_816901##q2_a1##3XBXDSS88AX65GX5VXYCH3BKODUXLD,"Speaking to the Wall Street Journal today , Steve Jobs announced that Apple 's AppStore is doing very well indeed , totting up some 60 million downloads from the site so far . In monetary terms , the downloads come to around $ 45 million , with the revenue of the downloads split between Apple and the app developers 30/70 . If this continues , Apple stands to bank at least $ 360 million a year in new revenue from the AppStore . "" Who knows , maybe it will be a $ 1 billion marketplace at some point in time , "" said Jobs in the interview .",Why are they so interested in talking about Apple Appstore ?,He is one of the App developers and wants people to know .,They want to be a part of making 45 million dollars,None of the above choices .,They have bought stock in Apple .,3
3126F2F5FAHNQ1LMSK1RAVZXC4KPE3##3L0KT67Y8HVLWIGZA4NH1NSD6RSSYT##A1S1K7134S2VUC##Blog_258484##q1_a2##3XQ4XW3ODBQS8DPYRHAK3ZVJ31GS2W,"Job life - I got fired yesterday . It was actually comical , the reasons and the way it was done . I was already expecting it , ever since the day that my boss threatened to fire me for going to a doctors appointment .",Is it reasonable   for a employee to remain at a job with such a boss ?,"There really is no choice , all bosses behave this way .",This boss behaves in a unexpected manner and the employee should move on .,None of the above choices .,The best bosses are the ones that keep employees in line .,1
3T8DUCXY0N4PT8O5HSIPVTBBINST9K##3FTF2T8WLSGK79QT20T27XEY10XW94##AJ7NSZOAFP05U##Blog_131376##q1_a1##3RWSQDNYLB0352WO9SPSGJ6TNIEFFD,"The mind boggles . Speaking of red hair , I ' ve dyed mine as - close - to Xev - red as mainstream hair - dressers can get . Which elicited this comment from _ every _ co - worker at the office when I got back : "" have you dyed your hair ? "" O_o It must be a very very subtle shade of red then , since it 's apparently only just noticeable . Or maybe it 's just another manifestation of the human trait Ford Prefect marvelled at , our habit of continuously stating and re - stating the very very obvious .",What may have caused you to dye your hair red ?,I wanted my hair to be noticeable .,I wanted to differ my hair style from the one my friend Xev had .,None of the above choices .,I wanted a comment from my co - workers .,2
3T6EIBTM9LMYJVZ13Y58WJW308HAA7##34YB12FSQZM3H7JNC4TPQGYU5ZYGMI##A1I72NHC21347A##Blog_717374##q2_a1##3PKVGQTFIJY68JIS5DHAMTRSWCBRY3,"Woo , internet at the mall . I was afraid I would n't be able to connect to the network -- I get at least three guests a week who can not for the life of them figure out how to connect -- but it was easy . Set up a new network connection , put in the network 's name , set the security to No Encryption ( Open ) , and voila !",What may happen if the network had security encryption ?,I would not be able to connect,I would set security to ' no encryption ' and connect,we would all be able to connect to network,I would connect to the network,0
36FFXPMSTB2HPB0N3LWI6YRKVPIOHO##3WOKGM4L74V91VSLVFVZPQOS00B0OT##A2KYOM2ZGYDJGT##Blog_1583893##q1_a1##3YKP7CX6G4T0DS52M75K912RAZFB75,"I had to do a reinstall of windows . I thought I was doing it a way where it would not delete my files but I was wrong . When I went into system recovery there were two options , one said reinstall windows without losing files the other was factory setting .",What 's a possible reason the writer had to do a reinstall of Windows ?,Because they thought they were doing it a way where it would not delete their files,None of the above choices .,Because there were two options .,Because they were wrong .,1
3J5XXLQDHOPXLN2LPCTUXWKI8KE3VT##3QAVNHZ3EPJXWNN6APC0MFWBF9YALE##A2KYOM2ZGYDJGT##Blog_177883##q1_a1##3T2EL38U0OYHWDDIN268YPAEYUUQXU,"For some reason I suddenly remembered those the other day when we were back - to - school shoe shopping for Emma . I asked her if she wanted to decorate a pair of white sneakers herself and she was totally for it . I explained that she would need to do her very best drawing , not rush , and probably think about and practice it all before she started decorating the shoes . I showed her some of my favorite pairs so she could get an idea of what we were talking about .",Why were we back - to - school shoe shopping for Emma ?,She would need to do her very best drawing,I asked her if she wanted to decorate a pair of white sneakers,Emma needed new shoes for school .,I suddenly remembered those the other day,2
374UMBUHN5NRR6V8TCSGXJCJOCJCTG##35LDD5557B28JTF62VE4O8QNE5QKMG##A2KYOM2ZGYDJGT##Blog_736870##q1_a1##3QE4DGPGBTPZLMVU0VZR709EZ9F4GR,"I know you ' ve been waiting for this . Immer treu . "" She murmured his last words back to him , looking back down into her glass . He tossed some coins down on the bar and walked out as he had come in - without a notice to anyone else .",Why did he toss some coins onto the bar ?,Because a woman looked back down into her glass .,Because he needed to pay his tab .,Because a woman murmured his last words back to him .,Because someone has been waiting for something .,1
31MBOZ6PAQ5I2IMA412P3QQAN64LCJ##3M81GAB8A3YD6U8B88KSYCFB8YSBQO##A2KYOM2ZGYDJGT##Blog_993632##q1_a1##3J9L0X0VDH0WFER6WVZ0AB6JG7IW9G,"I just kissed her ears and her forehead and her pink pink nose and told her how much I loved her , and she purred the entire way through . It was n't the rattling purr of a cat in distress , but the same sweet , quiet purr she always had . Her eyes were huge and glassy from the sedation , but she knew it was me .",Why did I kiss her ears ?,Because I just kissed her pink pink nose .,Because I just kissed her forehead .,Because I feel affection for her .,Because I just told her how much I loved her .,2
3MDKGGG61S1H5ELE3JRD3H8HLL5T64##3B3WTRP3DEHDQIRT8DGVBOMI261297##A2KYOM2ZGYDJGT##Blog_30155##q1_a1##3P4ZBJFX2XH5GOIJZHZSK7STIOKWFE,"Baltimore Marathon 2005 . up at 6 00 am to have a bagel with light cream cheese , and a big glass of ice water . pinned on my race number , put on my runner 's watch and knee brace , nike socks , laced up my shoes . threw on sweatpants and a long sleeved tshirt because it was chilly in the am . add yellow hat and i ' m ready to go .",Why did the writer have a big glass of ice water ?,Because they were thirsty .,None of the above choices .,Because they pinned on their race number .,Because it was 2005 .,0
